# COPERNICUS
#	EPS PER
#
#	Wavelegnth (A)	Mean Counts	  Mean Background	#Scans	Sigma
#	--------------  -----------   ---------------   ------  -----
      1021.79       9652.13       8198.74        1       0.00000
      1021.89       10466.4       8267.79        1       0.00000
      1021.99       11131.3       8338.21        1       0.00000
      1022.09       10986.8       8415.75        1       0.00000
      1022.19       10821.4       8483.61        1       0.00000
      1022.29       10591.5       8521.71        1       0.00000
      1022.39       10248.8       8562.77        1       0.00000
      1022.49       9672.23       8610.00        1       0.00000
      1022.59       9247.16       8664.75        1       0.00000
      1022.69       9043.19       8730.56        1       0.00000
      1022.79       8971.00       8776.38        1       0.00000
      1022.89       9033.11       8801.76        1       0.00000
      1022.99       9372.25       8828.62        1       0.00000
      1023.09       9914.98       8856.54        1       0.00000
      1023.19       10059.5       8886.56        1       0.00000
      1023.29       9994.80       8917.71        1       0.00000
      1023.39       9913.23       8959.69        1       0.00000
      1023.49       9825.85       9005.40        1       0.00000
